Example,Logistical,Natural Disasters,Market,Regulatory,Economic,Geopolitical,Customs Delays,Supply chain disruptions,Global competition,Rising labor costs,Final Risk Factor,Final Risk Value
Rare Earth Ban Fuels Doubt About The Viability Of The US Auto Industry: The transition to electric vehicles will happen far faster than is commonly understood. The Chinese bans on rare earth adds headwinds for US EV manufacturers.,0.04752364382147789,0.11013662070035934,0.079722099006176,0.20086893439292908,0.155746728181839,0.15407612919807434,0.13761430978775024,0.24425938725471497,0.25360986590385437,0.06389183551073074,Global competition,0.25360986590385437
"Accelerating Growth During Uncertainty: 4 Strategic Catalysts For CEOs: Uncertainty in the marketplace demands CEOs proactively plan, define strategic pivots and galvanize teams to move their organizations forward.",0.21952581405639648,0.11446656286716461,0.2258029580116272,0.15855054557323456,0.26194310188293457,0.20496247708797455,0.09665916115045547,0.38952821493148804,0.28683772683143616,0.12920597195625305,Supply chain disruptions,0.38952821493148804
"Top 10 Tech Articles Of 2024: As 2024 comes to a close, here's a look back at some of the tech stories that caught my eye in the past year.",0.09051059931516647,0.14465080201625824,0.020612824708223343,0.11132575571537018,0.12833397090435028,0.09894417226314545,0.033203061670064926,0.1392202526330948,0.12402777373790741,0.026413405314087868,Natural Disasters,0.14465080201625824
"Good Times Restaurants Inc. (GTIM) Q4 2024 Earnings Call Transcript: Good Times Restaurants Inc. (NASDAQ:GTIM) Q4 2024 Results Conference Call December 12, 2024 5:00 PM ETCompany ParticipantsKeri August - Senior Vice...",0.07487346231937408,0.02566302940249443,0.23205555975437164,0.11589090526103973,0.1574731320142746,0.04171471670269966,0.065865159034729,0.11111985892057419,0.16519080102443695,0.0480988547205925,Market,0.23205555975437164
"Post-Globalization: 5 Steps For Business Leaders Outside The US: How global executives are assessing the US presidential election, taking quick tactical action, and making strategic plans.",0.20863845944404602,0.08010078221559525,0.12062986195087433,0.12271163612604141,0.22357909381389618,0.4091935455799103,0.18686804175376892,0.12217262387275696,0.44016599655151367,0.08423890173435211,Global competition,0.44016599655151367
"Motor finance in 2025: driving the shift to BEVs amid industry disruption: The road to electrification continues to reshape the automotive landscape, with affordability, infrastructure, and new market entrants poised to dominate the...",0.22664965689182281,0.053306326270103455,0.28455743193626404,0.2109329104423523,0.2867649793624878,0.06171806529164314,0.10185429453849792,0.31066635251045227,0.21005180478096008,0.2365928590297699,Supply chain disruptions,0.31066635251045227
"Fact-check: Donald Trump’s latest claims on tariffs, murders and more: Trump discussed deportation, birthright citizenship, tariffs, false claims, and pardons for January 6 convicts.",0.1047922670841217,0.028265278786420822,0.07251330465078354,0.08020509779453278,0.11732727289199829,0.16756920516490936,0.16466963291168213,0.05981198325753212,0.06247466802597046,0.1397092044353485,Geopolitical,0.16756920516490936
Cracking Down On Gift Card Fraud: This increasingly prevalent form of theft leaves victims frustrated and retailers liable.,0.105321004986763,0.11522890627384186,0.06645725667476654,0.02876935712993145,0.07789131253957748,-0.025452692061662674,0.07899973541498184,0.27443525195121765,0.11820370703935623,0.14591313898563385,Supply chain disruptions,0.27443525195121765
"AI Focal Point of Cybersecurity Outlook for 2025, Says Experian: Artificial intelligence is at the center of Experian’s annual breach forecast due to its enabling capabilities. Michael Bruemmer, vice president of global data breach resolution at information services company, said that while ransomware and breaches affectin…",0.09424565732479095,0.1729072630405426,0.1675950139760971,0.05206037685275078,0.2119126319885254,0.14379346370697021,-0.021653074771165848,0.1424415558576584,0.13377438485622406,0.05997162312269211,Economic,0.2119126319885254
"Economic Forecast For 2025 And Beyond: Growth With Continued Inflation: The economy will grow but at a slower pace than 2024. Inflation will remain above the Fed's target, with Trump’s policies limiting production while stimulating spending.",0.09907440096139908,0.01783536560833454,0.19174283742904663,0.03815571591258049,0.3815956711769104,0.13016311824321747,0.030730031430721283,0.2008078396320343,0.18898995220661163,0.1946069300174713,Economic,0.3815956711769104
"Honda-Nissan Mega Merger Plans: A Bold Move to Survive EV Disruption: HMC-NSANY's potential $50B merger seeks to tackle EV challenges, cut costs and compete with Tesla and BYD, reshaping the future of Japan's auto industry.",0.08164545893669128,0.013305872678756714,0.19321753084659576,0.13539330661296844,0.12102415412664413,-0.022241445258259773,0.11479080468416214,0.16357265412807465,0.19369322061538696,0.12070771306753159,Global competition,0.19369322061538696
"As Bird Flu Concerns Increase, Don’t Forget About Normalcy Bias: Remember how few governments, businesses, and individual decision-makers were able to respond effectively to the last pandemic. The primary culprit was normalcy bias.",0.11804158985614777,0.21109163761138916,0.11217720806598663,0.16676390171051025,0.16404011845588684,0.13821792602539062,0.05852334946393967,0.20179854333400726,0.16717761754989624,0.20503464341163635,Natural Disasters,0.21109163761138916
"Theory Of Resiliency: How Manufacturers Make 2025 The Year Of Einstein: The challenges of the last five years have tested the industry’s ingenuity like never before.  Amidst the challenges, companies have found routes to resilence.",0.19971854984760284,0.15614788234233856,0.19387981295585632,0.21158327162265778,0.2713540196418762,0.13466592133045197,0.04256600886583328,0.40270742774009705,0.2354382574558258,0.15869484841823578,Supply chain disruptions,0.40270742774009705
"Hacking campaign compromised at least 16 Chrome browser extensions: Threat actors compromised at least 16 Chrome browser extensions leading to the exposure of data from over 600,000 users. A supply chain attack compromised 16 Chrome browser extensions, exposing over 600,000 users. Threat actors targeted the publishers of the …",0.058247268199920654,0.14190421998500824,0.2047363668680191,0.150533065199852,0.0513402484357357,0.055459994822740555,0.06678307801485062,0.23030593991279602,0.07282468676567078,0.07211124897003174,Supply chain disruptions,0.23030593991279602
"Malicious npm packages target Ethereum developers: Malicious npm packages target Ethereum developers, impersonating Hardhat plugins to steal private keys and sensitive data. Hardhat, by the Nomic Foundation, is an essential Ethereum tool, enabling streamlined smart contract and dApp development with customiza…",0.17484977841377258,0.10808310657739639,0.14319121837615967,0.1340274065732956,0.05541833117604256,-0.008527098223567009,0.028906287625432014,0.1625228077173233,0.11171738803386688,0.098719522356987,Logistical,0.17484977841377258
SECURITY AFFAIRS MALWARE NEWSLETTER – ROUND 27: Security Affairs Malware newsletter includes a collection of the best articles and research on malware in the international landscape. 7-Zip Zero-Day Exploit Dropped: A New Playground for Infostealer & Supply Chain Attacks   Quasar RAT Disguised as an npm Pac…,0.12820875644683838,0.17387625575065613,0.16008374094963074,0.13761383295059204,0.07731200754642487,0.11720734089612961,0.13392238318920135,0.16822801530361176,0.08675970882177353,-0.01252045389264822,Natural Disasters,0.17387625575065613
SECURITY AFFAIRS MALWARE NEWSLETTER – ROUND 25: Security Affairs Malware newsletter includes a collection of the best articles and research on malware in the international landscape. Vishing via Microsoft Teams Facilitates DarkGate Malware Intrusion   Spyware distributed through Amazon Appstore   BADBOX Bo…,0.12143858522176743,0.15851694345474243,0.14326386153697968,0.16264542937278748,0.093426413834095,0.13679289817810059,0.1411505788564682,0.12844395637512207,0.11325106024742126,-0.020922861993312836,Regulatory,0.16264542937278748
"How To Prep Cryptographic Assets For The Emerging Quantum Era: Quantum computing can render traditional encryption methods obsolete; it’s vital for companies to act now to protect themselves, their digital assets and their customers.",0.07870268076658249,-0.006014414131641388,0.12203168123960495,0.07790441811084747,0.10267526656389236,-0.028184941038489342,-0.006831178441643715,0.0862809345126152,0.08772298693656921,0.0018030018545687199,Market,0.12203168123960495
"China leads battery materials as South Korea's Posco Future M faces exit; Lotte eyes LFP mass production: China's battery materials sector is thriving, backed by government subsidies, low electricity costs, and cheaper labor, enabling aggressive investment. In contrast, South Korean firms, lacking comparable support, are struggling with mounting losses and potent…",0.18804612755775452,0.04478748142719269,0.17170190811157227,0.07249180972576141,0.2512606084346771,0.17158113420009613,0.11861173808574677,0.18835295736789703,0.28479886054992676,0.1623304933309555,Global competition,0.28479886054992676
"10 Game-Changing Technology Trends Shaping Our Future: From groundbreaking innovations to subtle advancements, these 10 game-changing technology trends shaping our future in profound ways.",0.11630992591381073,0.09371698647737503,0.0745340958237648,0.07860544323921204,0.16854554414749146,0.10142055153846741,0.04993119090795517,0.20395821332931519,0.21690769493579865,0.10741181671619415,Global competition,0.21690769493579865
"⚡ THN Recap: Top Cybersecurity Threats, Tools and Tips (Dec 2 - 8): This week’s cyber world is like a big spy movie. Hackers are breaking into other hackers’ setups, sneaky malware is hiding in popular software, and AI-powered scams are tricking even the smartest of us. On the other side, the good guys are busting secret onli…",0.11432788521051407,0.12647344172000885,0.12556417286396027,0.09646525233983994,0.08769985288381577,0.0848880261182785,0.04180078208446503,0.13580885529518127,0.09135136753320694,0.023023484274744987,Supply chain disruptions,0.13580885529518127
"Breakout Retailer Rises As Analyst Doubles Price Target, Sees Trump Tariffs Benefit: Ollie's Bargain Outlet was handed an upgrade early Wednesday after a slew of price hikes last week.",0.14909616112709045,-0.051679108291864395,0.3352575898170471,0.10221167653799057,0.28550979495048523,0.0738057866692543,0.15958036482334137,0.25425630807876587,0.20148493349552155,0.25753259658813477,Market,0.3352575898170471
Sustainability To Resilience: Adapt ESG Strategies In A Changing World: Is ESG officially dead or merely in transition? Is it possible to balance innovation and the pursuit of economic growth with protecting the planet? Some takeaways.,0.1423526257276535,0.2585389018058777,0.11287463456392288,0.19639790058135986,0.27848801016807556,0.2601168155670166,0.003232424845919013,0.30200377106666565,0.29614925384521484,0.03416403383016586,Supply chain disruptions,0.30200377106666565
"Chinese firms take on EV truck challenges: Dominant in the electric car sector, Chinese companies have been quietly consolidating their position in the lesser-watched trucking scene -- but foreign tariffs and a perceived quality gap could signal roadblocks ahead, experts warn. The domestic supply chai…",0.15993288159370422,-0.01137445867061615,0.15404051542282104,0.11409589648246765,0.18857748806476593,0.09879393130540848,0.23930221796035767,0.359813928604126,0.3076295554637909,0.21907736361026764,Supply chain disruptions,0.359813928604126
5 PR Predictions & Challenges To Navigate In 2025: Here are my top five PR challenges and predictions you can anticipate in 2025 and how you can capitalize on these opportunities for growth.,0.0966862291097641,0.16523635387420654,0.08570834249258041,0.08868838101625443,0.15303155779838562,0.15227317810058594,0.038184765726327896,0.18474304676055908,0.17910529673099518,0.08674827218055725,Supply chain disruptions,0.18474304676055908
"Donald Trump’s interview with ‘Meet the Press,’ fact-checked: In a Dec. 8 interview on NBC’s “Meet the Press,” President-elect Donald Trump elaborated on plans for removing people in the country illegally and imposing tariffs on trade partners — […]
The post Donald Trump’s interview with ‘Meet the Press,’ fact-checked a…",0.142637237906456,0.011795099824666977,0.1882244199514389,0.1353614628314972,0.06550894677639008,0.1773124635219574,0.21490424871444702,0.08346214890480042,0.1073373556137085,0.058922573924064636,Customs Delays,0.21490424871444702
"The Colorado River crisis is a threat to Americaâs food supply: The Colorado River, vital for 15% of U.S. agriculture, is shrinking, threatening the nation’s food supply. The Imperial Valley, producing two-thirds of winter vegetables, faces severe water shortages. Shrinking water levels could lead to higher produce prices…",0.1971569061279297,0.341515451669693,0.13413840532302856,0.149122416973114,0.22622939944267273,0.2081693857908249,0.12201538681983948,0.38870713114738464,0.17798399925231934,0.2795925736427307,Supply chain disruptions,0.38870713114738464
Asean’s second renaissance is now: As global tensions intensify—from strategic competition to climate disruption—Asean’s collaborative spirit has never been more crucial,0.11268248409032822,0.2062816321849823,0.06594192981719971,0.12160332500934601,0.19073083996772766,0.34432950615882874,0.10442196577787399,0.19416572153568268,0.3815594017505646,0.06229647621512413,Global competition,0.3815594017505646
"BadBox malware botnet infects 192,000 Android devices despite disruption: The BadBox Android malware botnet has grown to over 192,000 infected devices worldwide despite a recent sinkhole operation that attempted to disrupt the operation in Germany. [...]",0.06822438538074493,0.1480879783630371,0.07398300617933273,0.06176920235157013,0.0799427181482315,0.03806393966078758,0.0974196195602417,0.1054704487323761,0.12176404893398285,0.05243818834424019,Natural Disasters,0.1480879783630371
The EU Threatens to Cut Itself off From Another of Its Major Natural Gas Suppliers: Issues with supplies from Qatar — the world's third largest exporter of LNG — could be a major boon for US gas companies.,0.19567351043224335,0.16126485168933868,0.0778513252735138,0.23490594327449799,0.1658875048160553,0.2548193037509918,0.2097589373588562,0.39062100648880005,0.32058995962142944,0.16036610305309296,Supply chain disruptions,0.39062100648880005
"How China could try to strangle Taiwan without firing a shot: TAIPEI, Taiwan — When most people imagine what war in the Taiwan Strait might look like, scenes out of eastern Ukraine in 2022 or even Normandy in 1944 tend to come to mind.  Picture transport ships from China facing incoming anti-ship missiles; missile strik…",0.020329520106315613,0.0657789558172226,0.001265293569304049,0.011297941207885742,0.05056927353143692,0.22787803411483765,0.05970736965537071,0.14937715232372284,0.2018888145685196,-0.05398758500814438,Geopolitical,0.22787803411483765
"Chinese Firms Take On EV Truck Challenges: Dominant in the electric car sector, Chinese companies have been quietly consolidating their position in the lesser-watched trucking scene -- but foreign tariffs and a perceived quality gap could signal roadblocks ahead, experts warn.",0.12391720712184906,-0.01999829150736332,0.12906861305236816,0.09075155109167099,0.17496825754642487,0.09303431212902069,0.2237839251756668,0.3407190144062042,0.29782283306121826,0.21737149357795715,Supply chain disruptions,0.3407190144062042
"Travel Leaders on Trump 2.0… in Three Words or Less: When the cameras are off and PR teams aren’t hovering nearby, what do travel industry CEOs and executives truly think about the prospect of Donald Trump returning to the presidency? We asked — and they didn’t hold back.  -Sarah Kopit",0.18097203969955444,0.11163084954023361,0.09348687529563904,-0.009789087809622288,0.07654095441102982,0.14012908935546875,0.22743026912212372,0.18060828745365143,0.12049563974142075,-0.0017100460827350616,Customs Delays,0.22743026912212372
CES 2025: Can Universal Car Connector Revolutionize Automotive Design?: TUC.Technology reckons cars need a universal component connector to make development faster and provide more choice. The concept will be on show at CES 2025.,0.06355844438076019,0.008325903676450253,-0.02851506508886814,0.0659867450594902,0.03180713206529617,-0.023309707641601562,0.03537001088261604,0.0817403495311737,0.13579073548316956,0.04799743741750717,Global competition,0.13579073548316956
[Removed]: [Removed],0.05123664811253548,0.10402492433786392,0.066672682762146,0.19195403158664703,0.11069239675998688,0.10969702899456024,0.024915017187595367,0.013941995799541473,0.022723469883203506,-0.03870883584022522,Regulatory,0.19195403158664703
"Cybersecurity in 2025: Global conflict, grown-up AI, and the wisdom of the crowd: As we look ahead to cybersecurity developments in 2025, there’s bad news and good—expect to see new challenging attacks and the cybersecurity community increasingly working together to counter threats that are beyond the scope of individual organizations.
The…",0.03435168415307999,0.14550907909870148,0.03580119460821152,0.10434753447771072,0.055010996758937836,0.1636030524969101,0.04745237156748772,0.12349101901054382,0.14729072153568268,-0.013871751725673676,Geopolitical,0.1636030524969101
"Biocodex Strengthens Supply Chain Resilience with Kinaxis: The human microbiota pioneer invests in an agile and transparent supply chain to better meet patient needs OTTAWA, Ontario — Biocodex, a pioneer and leader in human microbiota health, as well as an innovator in pharmaceuticals, has partnered with Kinaxis® Inc…",0.18534822762012482,0.07028282433748245,0.12185396999120712,0.2640839219093323,0.07383251190185547,-0.040443435311317444,0.130879744887352,0.2878985106945038,0.10042040795087814,0.04494775831699371,Supply chain disruptions,0.2878985106945038
"What Happens To Neiman Marcus After The Saks Merger?: With the Saks Fifth Avenue-Neiman Marcus Group merger complete, Neiman Marcus is likely to experience the greater disruptions to its business and corporate culture.",-0.005814307369291782,0.042677126824855804,0.13809239864349365,0.026140008121728897,0.08749424666166306,0.0018608616665005684,0.03414934501051903,0.3164830505847931,0.08014567941427231,0.07058699429035187,Supply chain disruptions,0.3164830505847931
Beyond AI: Preparing For Artificial Superintelligence: The evolution from AI to artificial general intellgence (AGI) to artificial superintelligence (ASI) is upon us. How can executives prepare and chart the course?,0.24374902248382568,0.06887704133987427,0.19536839425563812,0.14847511053085327,0.2187662422657013,0.11654169857501984,0.026587001979351044,0.1839488446712494,0.17079077661037445,0.07939866185188293,Logistical,0.24374902248382568
"Kinaxis Named a Leader in three IDC MarketScape reports: Recognized for Supply Chain Planning Overall, Supply Chain for Life Sciences Industries and Supply Chain for Discrete Industries OTTAWA, Ontario — Kinaxis® Inc. (TSX: KXS) has been a named a Leader in the IDC MarketScape: Worldwide Supply Chain Planning Overa…",0.24448788166046143,0.09362396597862244,0.283443808555603,0.18435193598270416,0.13914182782173157,0.07526970654726028,0.18804316222667694,0.2807070016860962,0.240071102976799,0.06711343675851822,Market,0.283443808555603
Starboard Systems gets $5.5M funding to automate logistics and quotes for freight forwarders: Logistics optimization software startup Starboard Systems Inc. wants to help freight companies to eliminate global supply chain complexities after closing on a $5.5 million round of funding. The money comes from new investor Eclipse and existing backers Garud…,0.3000555634498596,-0.05586039274930954,0.1550034135580063,0.03510695695877075,0.12183727324008942,-0.027181997895240784,0.11875660717487335,0.30901142954826355,0.12371117621660233,0.14805445075035095,Supply chain disruptions,0.30901142954826355
"Kinaxis Offers a Solution to Streamline Bel’s Supply Chain: OTTAWA, Ontario — Bel Group, a major player in food through dairy, fruit and plant-based healthier eating portions, with iconic international brands such as The Laughing Cow®, Kiri®, Babybel®, Boursin®, Nurishh®, or GoGo squeeZ®, has partnered with Kinaxis® I…",0.25543588399887085,0.12863606214523315,0.1892104595899582,0.1959684193134308,0.1367751955986023,0.019277298822999,0.10867823660373688,0.2271037995815277,0.14445970952510834,0.10980822890996933,Logistical,0.25543588399887085
"Octapharma Injects Efficiency Into Its Supply Chain With Kinaxis: Global healthcare company will streamline operations and achieve end-to-end supply chain orchestration OTTAWA, Ontario — Octapharma, the largest privately owned company dedicated to the research and development of life-saving or life-altering therapies, has s…",0.248413547873497,0.053820040076971054,0.18384946882724762,0.22572246193885803,0.20073135197162628,0.037069085985422134,0.1142960712313652,0.2642453610897064,0.23714125156402588,0.17836447060108185,Supply chain disruptions,0.2642453610897064
"Kinaxis Announces $40,000 Academic Award to Empower the Next Generation of Supply Chain Innovators: Company gives aspiring supply chain students a boost in honor of its 40th anniversary OTTAWA, Ontario — In celebration of its 40th anniversary, Kinaxis® (TSX:KXS), a global leader in end-to-end supply chain orchestration, today announced a $40,000 academic aw…",0.2517547607421875,0.033668965101242065,0.16955137252807617,0.09641425311565399,0.17394839227199554,-0.046790339052677155,0.14749765396118164,0.2779104709625244,0.22582891583442688,0.15059605240821838,Supply chain disruptions,0.2779104709625244
"Forging a steady path to progress: NEXT year heralds a pivotal chapter for Asean, with Malaysia assuming the chair. Read full story",0.18009500205516815,0.04335374757647514,0.09946127235889435,0.14865286648273468,0.2031174749135971,0.19373318552970886,0.14296101033687592,0.17366592586040497,0.2564713656902313,0.11602655053138733,Global competition,0.2564713656902313
"Shipping giant Maersk expects strong demand and 'another year of disruption' for global trade in 2025: The past year has been a strong one for North American import trade demand, and that should continue for both ocean and air cargo into 2025, according to shipping giant Maersk, but so will supply chain disruptions.
After year-on-year growth in North American …",0.28613996505737305,0.07578521221876144,0.1805136799812317,0.08454742282629013,0.19617784023284912,0.230155348777771,0.34319931268692017,0.5098981857299805,0.3217775523662567,0.24719777703285217,Supply chain disruptions,0.5098981857299805
"Why cybersecurity is critical to energy modernization: In this Help Net Security interview, Anjos Nijk, Managing Director of the European Network for Cyber security (ENCS), discusses cybersecurity in the energy sector as it modernizes with renewable sources and smart grid technologies. Nijk also addresses the nee…",0.10731254518032074,0.17531538009643555,0.11093756556510925,0.1496403068304062,0.14086559414863586,0.2126370370388031,-0.0004175745416432619,0.11814237385988235,0.128008633852005,-0.005996143911033869,Geopolitical,0.2126370370388031
"Mysterious outbreak with high fatality rate in the DRC could imperil tech supply chains: Is the industry ready to be tested if the unidentified deadly pathogen spreads beyond rural Kwango Province?
A mystery disease with a fatality rate higher than COVID-19 has broken out in the Democratic Republic of the Congo (DRC), and while the global pandemi…",0.18163752555847168,0.2641218602657318,0.18725386261940002,0.20042991638183594,0.18466830253601074,0.1596067100763321,0.1728493571281433,0.26567623019218445,0.26525548100471497,0.13556234538555145,Supply chain disruptions,0.26567623019218445
"Weekly news roundup: global semiconductor shifts deepen as US probes China's chip sector, Taiwan eyes AI boom: Semiconductor Week in Review (Dec 22 - 28) :",0.1148621216416359,0.0964907631278038,0.1291312575340271,0.0930253118276596,0.1176752895116806,0.16921603679656982,0.16470184922218323,0.27575284242630005,0.25053516030311584,0.1964801549911499,Supply chain disruptions,0.27575284242630005
Why Trump's tariffs on Mexico would mean higher avocado prices at the grocery store: Most avocados consumed in the U.S. are grown in Mexico. Here's what Trump's proposed tariffs would mean for prices at the grocery store and for the avocado industry.,0.15603512525558472,-0.05878627300262451,0.1635206639766693,0.03680725023150444,0.257921427488327,0.09621885418891907,0.17737114429473877,0.2148367315530777,0.19891394674777985,0.20622935891151428,Economic,0.257921427488327
"Shipping giant Maersk expects strong demand and 'another year of disruption' for global trade in 2025: From Trump tariffs on China and Mexico to the threat of a U.S. ports strike, the supply chain expects another year of disruption, but also strong demand.",0.2810725271701813,0.10329533368349075,0.1886284053325653,0.10946565121412277,0.20874576270580292,0.23488229513168335,0.345439612865448,0.6126248240470886,0.29962754249572754,0.29607951641082764,Supply chain disruptions,0.6126248240470886
"NTT DATA and Kinaxis Collaborate to Transform Supply Chain Modernization: NTT DATA joins the Kinaxis partner ecosystem to boost digital transformation in supply chain orchestration OTTAWA, Ontario & TOKYO — NTT DATA Japan, a part of NTT Group, and a trusted innovator of IT and business services, has partnered with Kinaxis® (TSX:KXS…",0.27479320764541626,0.09782165288925171,0.2084089070558548,0.1648370623588562,0.13122285902500153,0.004358961712568998,0.24081550538539886,0.3416026830673218,0.14719152450561523,0.10764668136835098,Supply chain disruptions,0.3416026830673218
